,tweet,dialect
91,ماقول غير ياحظ الي بيشوفك بالعيد بالوردي حياتهم بتصير زي لون الفستان العيد حقه بيصير لونه وردي,Saudi_Arabia
92,البركه في الجيش غير هكي لا لامراهقين طبرق لاذيول الرئاسي والدوله,Libya
93,عرفت مابقاو عندي مشاعر ملي ولا يطيحلي التيليفون ف الأرض و نجرو من الكيت,Morocco
94,تفله تكفي البول وايد عليها,United_Arab_Emirates
95,صوت عربيا لشيرين وصوت لتاج راس الكل اليسا هون,Syria
96,مفيش حاجه لهند,Egypt
97,صباح الخير مين ؟ او كيف حتى ؟,Palestine
98,الصيدلية ناقصها وصلة bein وندخلها شيشة وتاخد تقييم عشرة ف قلبي,Egypt
99,الشي المشترك هوي المئت اي منيح بتخلص هالعلاقة مشان ما يصير عندك طاقة سلبية من وراهون,Syria
100, USER  شيخ لوسمحت ابي استفسر عن موضوع خاص وضروري لوسمحت,Kuwait
101,نفسي اقعد قدااام البحر ونفسي انط من طياره  URL  …,Egypt
102,أنت شكلك متعرفش حاجه النجمه الصاعده دي,Egypt
103,اي والله هيك صار بأختي من يومين نفس الموقف فتحت لعلبة لاقت خيطان وبعدني عم اضحك عليها,Lebanon
104,للرجعية و الإرهاب ما في جنسية! URL  …,Qatar
105, USER  لما اقول لكم علموني السواقه  URL  …,Saudi_Arabia
106,ارجع يا ايڤونا URL  …,Egypt
107,الاختبارات جت والضغوط جت ولا يحتاج اقول النفسيه وش بتصير,Saudi_Arabia
108,مساء النور يالسهلاوي,Saudi_Arabia
109,صوت الرصاص من جوة البيت يا رب تحفظهم جميعا,Yemen
110,شغلة امس يمكن خربت الي بنيناه بذيج الفترة كله,Iraq
111,DW قناه تناطل لاجل بس الحقیق لملایین البشر بما فیهم العرب,Somalia
112,ضاربها الجوع ومتكلش URL  …,Libya
113,كيف ممكن نقنعن انو الدراسة بأوروبا مشروع كتير ربحي وكتير ناجح ؟,Syria
114,هو انت همين مختفي والله احنا الاشوق URL ,Iraq
115,Retweeted بنت بغداد ( USER ):  USER  احبها لان بيهاحبيبتي روژايتي مشتاقتلها كولش ومشتاقه لشقاوتنا...  URL ,Iraq
116,عن قناة الشروق : انهاء مهام العديد من الوزراء ، كنت أظن ان الحكومة تستقيل وجوبا بإستقالة رئيس الحكومة !!! اذا راني غالط كاش واحد يصححلنا من فضلكم ! #Algerie_manifestations #GaidSalah #يتنحاو_ڨاع,Algeria
117,كل دا عشان تبقي شكلك حلو URL  …,Egypt
118,هذا بس ف البدايات بعدين ماشي عاد كل همك عيالك URL  …,Iraq
119, USER   USER  أكثر 500 مرشح لوظيفة واحدة هذا الهبل كان قبل احداث صحار القانون الجديد كل 30 شخص يتنافس ع وظيفة واحدة,Oman
120,دبا حنا دابا حنا دابا حنا المغاربة راه كنا عااايشين فشي بلاصة زوينة ؤ متنا ؤ بعثنا الله فهاد البلاد كاندوزو فيها السطاج لول ديال جاهنام !,Morocco
121,المسامح كريم الله يخليكم لبعضياتكم,Morocco
122,كل الناس حلوين يوم صغار ، الا انا من يوم طلعت ع الدنيا حلطة. #حط_صورتك_وانت_صغير,Oman
123,سؤال: هي قرعة الحج حد لاهي يطرح لها لا بدالها من جواز سفر ولل كافية بطاقة تعريف؟؟,Mauritania
124,المرزوقي : أنا رمز الثورة في الوطن العربي موش كان تونس أكهاو، إنتي رمز الكمية و برشا فيك برو.,Tunisia
125,ليش مجرد توقع,Iraq
126,امتى كليب ينزل,Djibouti
127,انا كنت مستني الريبلاي بتاعك اقسم بالله العظيم ي جدع,Tunisia
128,أسكت شوي و حفرتني انت في البوابه,Libya
129,انا توا مانبيش شي غير اني نطييييح نررررقد,Libya
130, URL  … ابسط دليل اهو يا جماعة ، ان تراك زي دا يلم كل مشاعر الشجن و الشهيصة في نفس التراك,Egypt
131,مهو اللي طول اوي عصبني,Egypt
132,انا حامل فشهر ثالث وفصيلتى سالبة متى اخذ الابرة حقت الفصيلة,Saudi_Arabia
133,توا نأجرها من فايز السراج,Somalia
134,هههههه عينيها يخوفو,Algeria
135,كُنت روحي .. لمّا كان جوّايا روح.,Saudi_Arabia
136, USER  بوس أيد عمك يلا,Egypt
137, USER  يابتاع المخدات انت هههههههه,Saudi_Arabia
138, USER  والله ما ادري لحد الان شلون فرق عضروطية مثل ريال مدريد وتشلسي بنصف نهائي دوري الابطال !!!!!!!؟؟؟؟؟؟,Iraq
139,ارتاح من الضغط شوية URL  …,Egypt
140,مش الامازيغ عرب,Algeria
141,بيختفي مع الوقت يا هيا,Syria
142,موبيلات يا رؤي مش فلوس و بس,Egypt
143,غسق اكو صوره مطعون برگبته,Iraq
144, USER   USER  إنسان مريض يريد الشهره على حساب النصر ...وبالنسبه للاعب خذناه غصب عنك وعن ناديك ....دق خشوم,Saudi_Arabia
145,خلاص إنتهت الحكاية وحضر أمن عدن وردم الحفريات.,Yemen
146,مابي من هالدنيا الا انت #صفوان_عشقي,Saudi_Arabia
147,اجي وعندي عزبه القهوه والشاهي والطبخ,Saudi_Arabia
148,بموتتت ابيهاا تجنن,Iraq
149,اصدق مقوله سمعتها اننا فترات فحياة بعض بس قليل الاصل واشباه الرجال كترو ف البلد,Egypt
150,خد قلبى ياعممم URL  …,Egypt
151,حلمتتت احلى حلم بحياتي كلهااااااااااا,Palestine
152, USER   USER  دكتوووووووور انا محتاجلك كيف السبيل للتواصل معك والله محتاجلك في حاجة تخصني هل هناك تليفون,Algeria
153,“  USER : اصبحنا في زمن من يحترم الفتاة ويتعامل معها برقي يسمونه خروووف الحمدلله والشكر بس” والله انت اسلوب ياخطير يا امباااااع,Syria
154,مبروك يا بوسعود.. تستاهلون الكأس,Mauritania
155,صباَح الـ: ياكثرك في باليّ ويابُعدك عن عيونِي.,Saudi_Arabia
156,ترى ناقص الشباب ٤ لاعبين اساسيين بالاضافه الى الحظ كورتين بالقايم وبلنتي ضاع,Saudi_Arabia
157,لحق الوقت وين #نحبسها سمحولي soory#و Bay_Bay#:/,Algeria
158,يباشا دا انا لسه عندي كويز الاتنين يباشا,Egypt
159,ان شاء الله حتلاقي الطريق  URL ,Tunisia
160,يوووووووه كتير دا انتي محتاجة سفينة تعبي فيها حاجاتنا URL ,United_Arab_Emirates
161,يا رجال بكل حالاتك زين,Palestine
162,مآ نشتري #آوآععي للعيد 󾇗󾬞 من #الله مشخصين,Palestine
163,الله يبارك فيك إيوا ضروري من الحداڭة خوك مزال زوفري وتعلمنا الحمد لله,Morocco
164,بس فيفا لمدة اسبوع,Iraq
165,اي طبعا هي منكم وإليكم واحنا عائلة مهجرة من العراق ومن زمان تستنجد وتستغيث وتطلب الفزعة الفزعة لمساعدتنا. ولما تقدمون المساعدة تطلبون منا مقابل والفقير ماعندا يأكل,Iraq
166,#الجزايز_السنغال يااارب تكون الكأس جزايرية ان شاء الله تربح الجزائر,Algeria
167,هتروحو ماتش الاهلي بكرا,Egypt
168,التويتر بيقفل حسابك كيف تحرميهم منه  URL  … URL ,Egypt
169,لكن م شاء الله ،، كونك تتذكرها دي حاجة بعيدة,Sudan
170,طبعا هنشوف عك كروي هايل في تشكيل النهاردة,Egypt
171,الشيمه خليهم بعيد عني,Oman
172,الناس كامل اصيبت في عينها هادي ماشي صدفة,Algeria
173,مبيحصلش ياعم والله,Egypt
174,طلعتي من دوامك ؟,Saudi_Arabia
175,موه بخمسه عب ما باغي كذاك احسن انقل قيدي مكان ثاني,Oman
176,كنت كنلعب فالزنقه,Morocco
177, USER  في مفاجأة لك بكرة,Saudi_Arabia
178,"""انت اكيد شوفت البوست ده عشان الدعوة دي من نصيبك..\""ربنا ياخدك ويريحك\""""",Egypt
179,الله يقبل منك وجزاك الله خير وماعليك زود,Syria
180,من اول يوم كلت اسحبوا الثقة من اهل العمايم و الدين لانها عميلة لنفسها لانهم يريدون الناس خدام و عبيد الهم,Iraq
181,انا مالي في الكورة ابدا بس هذي الصورة واجد تضحك URL  …,Oman
182,دوري ع اللي ياخدك زي م انتي مش اللي يحولك لواحده متعرفيهاش ..!,Egypt
183,اصل انا كدا كدا بصحي بدري ف بروح اشوف صحابي,Egypt
184,للأسف ما اعرف انام الا على البطن وإذا قمت ألم ظهر,Syria
185,حاجه تقرف والله,Egypt
186,ماشي فرق حتى فالخصم نفس الشي,Oman
187,اه صح كده في الفاينل بقا,Morocco
188,اليوم اخترت اغنية بكره ياحبيبي لورده URL ,Oman
189,ارحب ي ياكاريووووو اطلق اجنبي عندي,Syria
190,تمسخر و ضحك عالجمهور وإعطاء أهمية كبيرة للضيوف عالطاولة رغم كل افعالن الفاسدة، امر مرفوض كليا #صار_الوقت,Lebanon
191,وانا اللي ظلمتك,Morocco
192,مونتاداسوؤدادي و حماه عيشتا في الأوطان تال المغرب ماتعيش فيه في سبيل الله !!!,Morocco
193,يوسف الحسيني فرحان ان عكاشة اتضرب بالجزمة مع اننا تعاطفنا مع يوسف لما اتضرب على قفاه من الخرفان,Egypt
194,حبيبي يا فودة وانت بخير وصحة وسعادة يا هندسة,Lebanon
195,مايحتاج مجيد ماشاء الله منجد برز نفسه وبقوه URL  …,Saudi_Arabia
196,اكيد بيقرروا..نحنا عم نعطي رأي ونتناقش..فقط .. ونتمنى...ينسمع رأينا,Syria
197,جالى إحباط م السنةة قبل ما ادخلهاا .. :( #يـــارب,Egypt
198,شو نفع البكي؟,Egypt
199,خل نحسبها الكعدة وعوفة الفراش المزعجة الوقت والتبديل والميك اب والركض على خط والحر بالدوام + الازدحامات يرادلج سبوعين فكانسي بسطنبول ورة هيج يوم,Iraq
200,إي ممكن إذا ترجمت يومياتك البريطانية بعد عمر طويل بكون فيه chapter عن يوميات الإندومي وآلاء,Syria
201,حريم انسجنوا (25) سنة مع بعض أول ما طلعوا من السجن وقفوا عند باب السجن ساعتين يسولفون,Saudi_Arabia
202,مش مُهم ، عشان لا إنتوا هتفهموا ولا أنا هشرح.,Egypt
203,اليسا مافي كليب؟؟ بدي انام Goodnight  USER ,Djibouti
204,واضح الاختبار كان حلو,Oman
205, USER  لا لا ماديريش على بعضهم ايهاب ولدنا ومنا و فينا,Algeria
206,حذفي ورجعي نزلي,Iraq
207,لا ولو يا شذا انتو اكبر اووووو مش قصدي عن الخدمات والله,Palestine
208,الف مبروك يا عزة و ربنا يتمم عليكي بخير,Lebanon
209,اجلد هم جلد,Saudi_Arabia
210,إيه الدرجات بنت الوسخة دي يا جامعتي؟,Egypt
211,اعتقد صاحبه فكرة لفه دي هي سرين,Djibouti
212,شوفلي تذكره تكفى تكفى تكفى,Saudi_Arabia
213,— لا الموضوع دا خط احمر ي قطه☻  URL  …,Morocco
214,هذي خربت لي حياتي يومين م كنت محتاج لهن لكن حدث مالا يتوقع URL ,Oman
215,انا بموت جوايا وببكى على حالى URL  …,Egypt
216,لالا كله كلاكيع تكسر الظهر,Iraq
217,اي شي الا شباك الحارة,Syria
218,انا بتوقعله موسم ناجح إن شاء الله,Egypt
219,اذا هم تلفوا مدري كم مليار كالوا غرك بالمجاري,Iraq
220,ابعثلي نص البيان الله يحفضك,Algeria
221,أكيد غلط والله أعلم URL  …,Mauritania
222,- ابسط انواع العذاب غرفة ما يوصلها النت ›,Saudi_Arabia
223,ياخي اغبياء مرا,Saudi_Arabia
224,ياعملاء تركيا بعتوا البلاد وبالنسبة لفرنسا راهو اصلهم من قبايل برقة URL ,Libya
225,تدخلي للقلب بسرعة و حكياتك تجنن متلك  URL  …,Algeria
226,انا في نفسي اووى  URL  …,Morocco
227,يلي قمرة فلونك قولي كيف بنوصل بحر عيونك,Somalia
228,شغل ملف صوتي لمحاضرة ممله وبتنام,Iraq
229,الصراحة يستاهل شهر العسل,Morocco
230,عطيتها مصاري مشي الحال,Syria
231,من اكثر الفرق الاندرغراوند العربية يلي بحبها. عظيمين من اغاني لكلمات لبرفورمنس، على امل يجوا لبنان قبل ما كون رحت  URL  …,Lebanon
232,بروح للمريخ امرج؟,United_Arab_Emirates
233,الناس صلت التراويح واحنا لسا ماأدن,Algeria
234,اكول يا جماعة صدوك شنو موضوع سيد مقتدى يكولون عنده ورمه يعني هذا الخبر صحيح لو يشاقه ويانه ..,Iraq
235,مشكله السنقل لما يصور صور حلوه ومايدري يوريها مين...,Saudi_Arabia
236,رتويت لي دي لو الاتنين م عندك شغلة بيهم URL  …,Yemen
237,اذا انت بل عراق اشكر اللة لهسة عايش وكامل صحتك يا احلام يابطيخ,Iraq
238,ومنو طلب منج ادافعين من اجلنه والله عايشه الدور,Iraq
239,إذا ما في تلج ما في خوف من الانزلاق,Yemen
240,رايحه وين دورين عيوره,Iraq
241,عايش علي امل ان حاجة تحصل تغير كل الي انا فيه..,Egypt
242,لحظه لحظه وين تبين تسكتين البيب؟؟,United_Arab_Emirates
243,▬•●◕(1)◕●•▬▬▬◕ عاوز تكبر صفحتك للمليون انضم الي اكبر جروب تبادل علي الفيس بوك ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓...  URL ,Tunisia
244, USER  من مطعمنا ..مفركة بطاطا وبيظ وفول وحمص وخبز كماج طالع من الفرن URL ,Jordan
245,هاد لعام قررت مانتسجلش حيت ديجا 6 لمرات متابعة ووالو,Morocco
246,متزاعلين عشان درجه,Saudi_Arabia
247,لوسيلسو _ندومبيلي _ ايركسن ماشاءالله URL  …,Egypt
248,ابوي ترك مفتاح السيارة بالسيارة و تركتني لحالي مشتهية شغلا و اعمل حادث,Syria
249,سنغافورة دوله حديثة العهد أصبحت هكذا في 30 عام أهم شي العشر فردات خبزه بربع . . . مراسل طبرق URL ,Libya
250,يامساء الزين ارحب,Kuwait
251,كلي على بعضي انحب مااقدر احدد شي #شي_تحبه_في_نفسك,Iraq
252,ما يديروا ولو .الله مع الطيبين إلى يوم الدين,Algeria
253,المقطع ذا فعلا قديم؟,Saudi_Arabia
254,هي غير الخدود ماخذه مكان حتى من العيون,Iraq
255,البنت من دول الواد #يخونها تفضل تلعن وتشتم #الشباب كلها طب يبنت الكلب انا مالي انا كنت في #الحمام :D,Egypt
256,ما هو هيفضل تقيل كدا وعبيط خالص يبقي مهنشربش خالص,Egypt
257,شوبير مُداعبا عمرو أديب: شعرك وقع من قلة فوز الزمالك بالدورى  URL ,Egypt
258,الصراحه مشكله تكون صاحي لهالوقت وتفكر ولحالك,Saudi_Arabia
259, USER  اي والله أحسن شي...ألف لااااايك,Syria
260,أكثر معلومة مو مهمة في العالم: لما الطيار يقولك درجة الحرارة الخارجية وأنت بنص الرحلة! شسوي لامك حبيبي ؟؟ =)),Kuwait
261,يجي يقولك بالمصايح : اقولك والله ما تردني عيب عليك,Bahrain
262,لا بس الدماغ جايه بسرس,Egypt
263,حتى أنا معاك والله حرام يخسر,Libya
264,لما خبرت صديقتي لازم تدخل شاروخان ف السالفه عشان افهم  URL  … URL ,Oman
265,#شي_حلو_واختفي العيديه زمان عشره وعشرين توا معاش يعطو فيا,Libya
266,مشيت كثير وسيارتي بعيده بديت اخاف,Saudi_Arabia
267,امالا بنرفعك لمروان لطريق مشتل,Libya
268,لا تنام لــيلك وانت شايل على الناس سـامـح ترا گـل المخاليق ، يخطون ! خـل الــخفوق ابيض من اوراق كراس يــرضى علـــيك مــدبر الخلق والكون,Oman
269,وين باقي الشيعه تعرف انه الحق للتسنن والتشيع عذاب وتلاعب,Saudi_Arabia
270,﮼هههههههههههههههههههههههههههه تذكرني بالنظام القديم,Saudi_Arabia
271,كانوا يقولون انتوا من بعض ماتملون كنت اضحك وليتني قلت اذكروا الله,United_Arab_Emirates
272,ضحكاتي لو كلهن #صدك چا صرت رب #العافية  URL ,Iraq
273,شكرا لكم خدمة ممتازة جدا ختمت gears4 و tomb raider بدون لا اشتريهم وان شاء الله بعد بختم just cause 4,Oman
274,يا الله كيف بدا هاليوم ، وكيف انتهى !,Palestine
275,"""- إحفظ بنات الناس تستر خواتك ، ومن دق باب الخلق مدقوق بابه ! \""""",Saudi_Arabia
276,قلت بالاك داخلة تغني في اه يادنيا لفي بينا يا دنيا,Algeria
277,غير حركة هاي .. عود والله داانطيكم اني,Iraq
278,اللي وصلنـي منه يكفيني عمٌـر . URL  …,United_Arab_Emirates
279,ياشين التكبر والغرور,Saudi_Arabia
280,قاعدة على الطريق وبشتكي لحالي لو حابة تعاليي,Palestine
281,اي السابع اخر واحد,Iraq
282,انا اليوم قررت اطلع من البيت و اعمل مشوار بس هاد القرار لسا قيد التفكير,Syria
283,القوالب نامت و الانصاص قامت معلش مسيرها تتعدل URL  …,Egypt
284,شهادة اعتز بيها والله،,Syria
285,حتى في الزطلة يعطوك حاجة قليلة,Algeria
286,الله يخلي المكيف والله يرحم الله مخترعنه,Oman
287,عاد يا سيدي حتى وكان فتكم بالحديث...كيف العادة الوقت هذا كل يوم ندخل نعمل دورة على ستوريات الحسناوات اللي معيا هنا ونبدا نطيش في القلوب ... وكيف العادة بربي ما تفهمونيش بالغالط راهو ما على بالي بالتصاور وقصدي...  URL  …,Tunisia
288,ممتاز احتاجها ماالقى نسخة مجانية في سورس معين,Saudi_Arabia
289, USER  كلام سليم يا شيخنا بدال التصوير وعض والتميلح URL ,Saudi_Arabia
290,حتى لو سبتها حاول تبينلها انك كنت بتحبها مش اول ما تسيبها تعرف غيرها,Egypt
291,ططيب وليه ماتفتر عندي,Iraq
292,لا تستغرب ممكن يعملوها,Djibouti
293, USER  ياريت لو تعطيني تردد جلوبل فقط,Iraq
294,ما فيه خلطة لا هوك ولا إيلاه.. مقاطع الجميع ما رديت اعليك!,Mauritania
295,ياما حاولت الفراق وما قويت كنت ابي أنساه لكن ما نسيت ..,Iraq
296,ايه هو الطلب اللي نفسك تنامي وتقومي تلاقي متحقق ؟؟ — الاقى مصر اتغيرت :)  URL ,Egypt
297,تعالي انا نديرهلك في جلسة لكن تقوليش غالي,Libya
298,للبلي لايكد يور تويت,Syria
299,الله عليك يا ابو نوارة,Libya
300, USER  خل العالميه تزود بطولاتك,Syria
301,علي فكرة انا ممكن اقفل طريق الساحل و متعديش الكيلو ٢١ حتي,Egypt
302,اجاني اتصال الصبح الو الو نعم -أخي علي اشلونك -الحمدلله بخير هو: يمكن ما عرفتني ؟ انا: لا والله ولا ضغرا بيك هو...  URL ,Iraq
303,عايز تقدم تربوي ؟,Egypt
304,انت غير دير حل ال مكرون راه ضاقت عليه,Libya
305,خليك بس متأكد انك قابل للاستبدال ف اى وقت .. العشم مهلك للأعصاب ..,Lebanon
306,بوري جراحه بلطي باطنه باربون أنف و اذن دنيس رمد,Egypt
307,وكأس العالم كم هدف بحكم اننا الحين نعيش جو كأس العالم 5 أهداف فقط لو كنت غلطان صحح لي,Bahrain
308,ظليتو تلعبو بالبلون؟,Jordan
309,انا لا اتكلم على لي رفدوهم منذ 22 فيفري و ارواح... بل منذ أن اخذت الجزائر استقلالها.. الكل يعلم كيف تسير الأمور... عدالة التليفون ماشي حديثة بل منذ القدم,Algeria
310,نديروها في معلقات رياض الفتح ههههههه,Algeria
311,اني مجرب هالشي من اخذت سبليمنت فايتمن دي كلش هواي اشياء تغيرت بنومي وبيومي,Iraq
312,عادي عادي واحد صفر ! ان شالله بيرجع #العنابي و بيسجل,Qatar
313,اذا مابقى غير البحث باليوتيوب اكتبي مشكلتك وشوفي فيديو خاص بالشرح,Iraq
314,عرضتيني وقعدت برا,Algeria
315,مع هشام مش حاتقدر اتغمض عينيك استمر,Libya
316,عشان تنشطو عادي,Libya
317,هناك من الناس من تحطه على الجرح يبرأ و من الناس من يقع على الجرح كالذباب,Algeria
318,هو ليه الريال مش داخل في صفقة دى ليخت,Egypt
319,روحي تعالجي حرام تقضي عطلتك هيك,Syria
320,كيف يحذر عن نفسة انه سيقتل يسير عكس نفسة هادا اثبات ان كل مخططات مصر مخترقة ومكشوفة وينجو منها الاجانب الضحية مواطنين ابرياء,Syria
321,متدوريش ورا الراجل عشان متزعليش..,Egypt
322,هنرجع حق مين ولا مين ولا مين ....؟!!,Egypt
323,اني حزينه عشان مارحت الفعاليه.,Iraq
324,"""\"" USER : شوفة الأحباب صارت صعبه صعبه .\""""",Saudi_Arabia
325,ولد ولد ولد (انا) ولد ولد ولد,Palestine
326,اللي بتعمله معايا ياعم,Egypt
327,شكله امعش خطم العطيب,Libya
328,اصلا التحليلات لعبتي stage 3 done,Iraq
